Id,t[ms],x[um],y[um],z[um],fx[nN],fy[nN],fz[nN]
6001,0.000000,-0.330594,87.991361,-1.227608,0.000000,0.000000,0.000000
6001,20.000000,0.854008,87.990877,-1.227566,0.042523,-0.000052,0.004178
6001,40.000000,1.591501,87.989607,-1.227569,0.032458,-0.000072,0.003873
6001,60.010000,2.177313,87.988061,-1.227572,0.026455,-0.000081,0.003510
6001,80.000000,2.660424,87.986427,-1.227575,0.022094,-0.000082,0.003280
6001,100.000000,3.067924,87.984797,-1.227576,0.018811,-0.000081,0.003169
6001,120.000000,3.418082,87.983213,-1.227576,0.016319,-0.000078,0.003134
6001,140.000000,3.724564,87.981687,-1.227576,0.014413,-0.000075,0.003136
6001,160.010000,3.997543,87.980218,-1.227576,0.012933,-0.000072,0.003149
6001,180.010000,4.238666,87.978798,-1.227606,0.010490,-0.000066,0.000158
6001,200.010000,4.431380,87.977590,-1.227642,0.009087,-0.000057,-0.003481
6001,220.010000,4.606831,87.976468,-1.227657,0.008506,-0.000055,-0.004991
6001,240.010000,4.769619,87.975392,-1.227644,0.007333,-0.000049,-0.003635
6001,260.010000,4.908056,87.974451,-1.227614,0.006680,-0.000046,-0.000665
6001,280.010000,5.039051,87.973541,-1.227601,0.006438,-0.000045,0.000663
6001,300.010000,5.165973,87.972638,-1.227594,0.006259,-0.000045,0.001313
6001,320.010000,5.289504,87.971739,-1.227591,0.006096,-0.000045,0.001624
6001,340.010000,5.409876,87.970842,-1.227590,0.005942,-0.000045,0.001753
6001,360.010000,5.527216,87.969949,-1.227590,0.005793,-0.000045,0.001782
6001,380.010000,5.641637,87.969060,-1.227590,0.005650,-0.000044,0.001752
6001,400.010000,5.753257,87.968176,-1.227591,0.005513,-0.000044,0.001688
6001,420.010000,5.862204,87.967295,-1.227592,0.005383,-0.000044,0.001604
6001,440.010000,5.968607,87.966420,-1.227592,0.005259,-0.000044,0.001508
6001,460.010000,6.072596,87.965549,-1.227594,0.005141,-0.000043,0.001406
6001,480.010000,6.174297,87.964683,-1.227595,0.005030,-0.000043,0.001301
